STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Kolkata,1993-04-15 08:00:00,0.6,0.96,1993,4,8,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.36
Kolkata,1993-04-15 09:00:00,0.84,1.57,1993,4,9,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.7300000000000001
Kolkata,1993-04-15 10:00:00,0.93,2.16,1993,4,10,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,1.23
Kolkata,1993-04-15 11:00:00,1.1,2.62,1993,4,11,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,1.52
Kolkata,1993-04-15 12:00:00,1.18,2.82,1993,4,12,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,1.64
Kolkata,1993-04-15 13:00:00,1.2,2.86,1993,4,13,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,1.66
Kolkata,1993-04-15 14:00:00,1.08,2.53,1993,4,14,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,1.4499999999999997
Kolkata,1993-04-15 15:00:00,0.96,2.16,1993,4,15,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,1.2000000000000002
Kolkata,1993-04-15 16:00:00,0.77,1.53,1993,4,16,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.76
Kolkata,1993-04-15 17:00:00,0.51,0.82,1993,4,17,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.30999999999999994
Kolkata,1993-04-15 18:00:00,0.21,0.28,1993,4,18,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.07000000000000003
Kolkata,1993-04-15 19:00:00,0.01,0.02,1993,4,19,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.01
Kolkata,1993-04-15 20:00:00,0.0,0.0,1993,4,20,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0
Kolkata,1993-05-15 05:00:00,0.0,0.0,1993,5,5,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0.0
Kolkata,1993-05-15 06:00:00,0.06,0.06,1993,5,6,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0.0
Kolkata,1993-05-15 07:00:00,0.37,0.43,1993,5,7,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0.06
Kolkata,1993-05-15 08:00:00,0.72,1.0,1993,5,8,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.28
Kolkata,1993-05-15 09:00:00,1.06,1.66,1993,5,9,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0.5999999999999999
Kolkata,1993-05-15 10:00:00,1.26,2.22,1993,5,10,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.9600000000000002
Kolkata,1993-05-15 11:00:00,1.29,2.57,1993,5,11,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,1.2799999999999998
Kolkata,1993-05-15 12:00:00,1.41,2.97,1993,5,12,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,1.5600000000000003
Kolkata,1993-05-15 13:00:00,1.39,2.84,1993,5,13,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,1.45
Kolkata,1993-05-15 14:00:00,1.31,2.83,1993,5,14,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,1.52
Kolkata,1993-05-15 15:00:00,1.08,2.34,1993,5,15,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,1.2599999999999998
Kolkata,1993-05-15 16:00:00,0.89,1.68,1993,5,16,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.7899999999999999
